State,School district,LEAID,"Total number of  grade 8 students",Number of grade 8 students enrolled in Algebra I,Percentage of grade 8 students enrolled in Algebra I 
CA,LIVE OAK ELEMENTARY,0621990,196,30,15.30612245
CA,LIVE OAK UNIFIED,0622050,138,0,0
CA,LIVERMORE VALLEY CHARTER,0622110,1063,241,22.67168391
CA,LIVINGSTON UNION,0622170,305,76,24.91803279
CA,LODI UNIFIED,0622230,2351,249,10.59123777
CA,LOLETA UNION ELEMENTARY,0622320,19,0,0
CA,LOMA PRIETA JOINT UNION ELEMENTARY,0622350,67,58,86.56716418
CA,LAS LOMITAS ELEMENTARY,0622380,132,100,75.75757576
CA,LOMPOC UNIFIED,0622410,739,159,21.51556157
CA,LONE PINE UNIFIED,0622440,22,10,45.45454545
CA,LONG BEACH UNIFIED,0622500,5614,2721,48.46811543
CA,JOHN ADAMS ACADEMY,0622560,411,14,3.406326034
CA,LOS ALAMITOS UNIFIED,0622590,764,327,42.80104712
CA,LOS ALTOS ELEMENTARY,0622650,587,261,44.46337308
CA,WESTSIDE INNOVATIVE SCHOOL HOUSE CHARTER MIDDLE,0622710,44491,5472,12.29911668
CA,LOS BANOS UNIFIED,0622740,774,69,8.914728682
CA,LOS GATOS UNION ELEMENTARY,0622830,405,181,44.69135802
CA,LOS MOLINOS UNIFIED,0622860,12,6,50
CA,LOS NIETOS,0622890,193,32,16.58031088
CA,LOS OLIVOS SCHOOL DISTRICT,0622920,33,0,0
CA,LOST HILLS UNION ELEMENTARY,0622950,57,0,0
CA,LOWELL JOINT,0623010,387,29,7.493540052
CA,LUCERNE ELEMENTARY,0623040,30,0,0
CA,LUCIA MAR UNIFIED,0623080,762,207,27.16535433
CA,LUTHER BURBANK,0623130,51,0,0
CA,LYNWOOD UNIFIED,0623160,1079,333,30.86190918
CA,MADERA UNIFIED,0623340,1534,223,14.53715776
CA,MAGNOLIA UNION ELEMENTARY,0623460,14,11,78.57142857
CA,MAMMOTH UNIFIED,0623530,94,12,12.76595745
CA,MANCHESTER UNION ELEMENTARY,0623550,1,0,0
CA,MANTECA UNIFIED,0623610,1790,0,0
CA,MANZANITA ELEMENTARY,0623700,27,4,14.81481481
CA,MAPLE ELEMENTARY,0623760,31,0,0
CA,SOUTH SUTTER CHARTER,0623800,180,15,8.333333333
CA,MARICOPA UNIFIED,0623820,194,0,0
CA,SIERRA FOOTHILL CHARTER SCHOOL,0623940,152,0,0
CA,MARK TWAIN UNION ELEMENTARY,0623970,86,0,0
CA,MARK WEST UNION ELEMENTARY,0624000,57,0,0
CA,MARTINEZ UNIFIED,0624030,321,0,0
CA,MARYSVILLE JOINT UNIFIED,0624090,684,0,0
CA,MCCABE UNION ELEMENTARY,0624180,175,0,0
CA,MCCLOUD UNION ELEMENTARY,0624210,4,4,100
CA,MCFARLAND UNIFIED,0624230,273,0,0
CA,MCSWAIN UNION ELEMENTARY,0624360,110,36,32.72727273
CA,MEADOWS UNION ELEMENTARY,0624390,53,0,0
CA,MENDOCINO UNIFIED,0624480,36,35,97.22222222
CA,MILPITAS UNIFIED,0624500,782,191,24.42455243
CA,MENIFEE UNION ELEMENTARY,0624540,1135,174,15.33039648
CA,MENLO PARK CITY ELEMENTARY,0624570,267,137,51.31086142
CA,MERCED CITY ELEMENTARY,0624600,1176,0,0
CA,MERCED RIVER UNION ELEMENTARY,0624630,19,0,0
CA,MERIDIAN ELEMENTARY,0624690,93,4,4.301075269
CA,MESA UNION ELEMENTARY,0624720,131,15,11.45038168
CA,CALIFORNIA CONNECTIONS ACADEMY @ NORTH BAY,0624750,145,110,75.86206897
CA,MIDWAY ELEMENTARY,0624780,13,0,0
CA,MILL VALLEY ELEMENTARY,0624870,352,114,32.38636364
CA,MILLBRAE ELEMENTARY,0624900,304,0,0
CA,MILLVILLE ELEMENTARY,0624930,32,0,0
CA,MISSION UNION ELEMENTARY,0625110,15,0,0
CA,MODESTO CITY ELEMENTARY,0625130,1531,103,6.727629001
CA,ASPIRE VANGUARD COLLEGE PREPARATORY ACADEMY,0625150,69,6,8.695652174
CA,MODOC JOINT UNIFIED,0625190,58,17,29.31034483
CA,MOJAVE UNIFIED,0625230,203,14,6.896551724
CA,MONROE ELEMENTARY SCHOOL DISTRICT,0625290,17,0,0
CA,MONROVIA UNIFIED,0625320,426,280,65.72769953
CA,MONSON-SULTANA JOINT UNION ELEMENTARY,0625350,50,49,98
CA,MONTAGUE ELEMENTARY,0625380,22,18,81.81818182
CA,MONTE RIO UNION ELEMENTARY,0625410,4,0,0
CA,MONTEBELLO UNIFIED,0625470,2253,0,0
CA,MONTEREY PENINSULA UNIFIED,0625530,723,658,91.00968188
CA,MONTGOMERY ELEMENTARY,0625650,3,2,66.66666667
CA,MOORPARK UNIFIED,0625690,508,203,39.96062992
CA,MORAGA ELEMENTARY,0625740,207,109,52.65700483
CA,MORELAND,0625770,447,0,0
CA,MORENO VALLEY UNIFIED,0625800,2561,114,4.451386177
CA,MORGAN HILL UNIFIED,0625830,691,0,0
CA,MORONGO UNIFIED,0625860,582,79,13.57388316
CA,MOTHER LODE UNION ELEMENTARY,0625980,107,33,30.8411215
CA,MT. SHASTA UNION ELEMENTARY,0626040,52,0,0
CA,ACADEMY OF ARTS AND  SCIENCES DEL MAR MIDDLE & HIGH 6-12,0626100,241,76,31.53526971
CA,MOUNTAIN VIEW ELEMENTARY,0626190,718,0,0
CA,MOUNTAIN VIEW ELEMENTARY,0626220,311,64,20.57877814
CA,MOUNTAIN VIEW WHISMAN,0626280,434,0,0
CA,MT. BALDY JOINT ELEMENTARY,0626340,7,0,0
CA,MT. DIABLO UNIFIED,0626370,2508,400,15.94896332
CA,MOUNT PLEASANT ELEMENTARY,0626400,284,29,10.21126761
CA,MULBERRY ELEMENTARY,0626430,8,0,0
CA,ACADEMY OF ARTS AND  SCIENCES THOUSAND OAKS AND SIMI,0626460,55,35,63.63636364
CA,MUROC JOINT UNIFIED,0626490,129,61,47.28682171
CA,NAPA VALLEY UNIFIED,0626640,1379,230,16.67875272
CA,NATIONAL ELEMENTARY,0626670,27,0,0
CA,NEEDLES UNIFIED,0626760,48,0,0
CA,NEVADA CITY ELEMENTARY,0626820,109,27,24.7706422
CA,NEW HAVEN UNIFIED,0626910,441,43,9.750566893
CA,NEW HOPE ELEMENTARY,0626970,22,0,0
CA,NEW JERUSALEM ELEMENTARY,0627030,300,15,5
CA,MOUNTAIN UNION ELEMENTARY,0627040,6,0,0
CA,NEWARK UNIFIED,0627060,457,96,21.00656455
CA,CREEKSIDE CHARTER MANAGEMENT,0627120,73,14,19.17808219
CA,NEWMAN-CROWS LANDING UNIFIED,0627200,231,0,0
CA,NEWPORT-MESA UNIFIED,0627240,1658,1245,75.09047045
CA,NICASIO,0627300,7,0,0
CA,NORRIS ELEMENTARY,0627450,481,123,25.57172557
CA,NORTH COUNTY JOINT UNION ELEMENTARY,0627480,86,24,27.90697674
CA,NORTH COW CREEK ELEMENTARY,0627510,34,0,0
CA,NORTH MONTEREY COUNTY UNIFIED,0627590,308,0,0
CA,NORWALK-LA MIRADA UNIFIED,0627690,1497,0,0
CA,NOVATO UNIFIED,0627720,653,0,0
CA,PIVOT CHARTER SCHOOL RIVERSIDE COUNTY,0627780,190,0,0
CA,OAK GROVE SCHOOL DISTRICT,0627810,1198,0,0
CA,PIVOT CHARTER SCHOOL NORTH BAY,0627840,162,2,1.234567901
CA,OAK PARK UNIFIED,0627850,400,147,36.75
CA,OAK RUN ELEMENTARY,0627870,5,0,0
CA,OAK VALLEY UNION ELEMENTARY,0627900,46,0,0
CA,OAK VIEW UNION ELEMENTARY,0627930,49,0,0
CA,DOWNTOWN CHARTER ACADEMY,0628050,3376,238,7.049763033
CA,OAKLEY UNION ELEMENTARY,0628080,548,85,15.51094891
CA,OCEAN VIEW,0628140,1024,302,29.4921875
CA,OCEAN VIEW,0628170,296,0,0
CA,OCEANSIDE UNIFIED,0628250,1534,0,0
CA,OJAI UNIFIED,0628270,219,51,23.28767123
CA,ONTARIO-MONTCLAIR,0628470,2298,0,0
CA,ORANGE CENTER,0628530,110,6,5.454545455
CA,ORANGE UNIFIED,0628650,2156,554,25.69573284
CA,ORCHARD ELEMENTARY,0628680,93,31,33.33333333
CA,ORCUTT UNION ELEMENTARY,0628710,523,0,0
CA,ORICK ELEMENTARY SCHOOL DISTRICT,0628830,3,0,0
CA,ORINDA UNION ELEMENTARY,0628860,311,0,0
CA,ORO GRANDE ELEMENTARY,0628950,336,18,5.357142857
CA,STREAM CHARTER,0629100,252,0,0
CA,OWENS VALLEY UNIFIED,0629190,7,0,0
CA,OXNARD,0629220,1663,0,0
CA,OXNARD UNION HIGH,0629270,63,0,0
CA,PACHECO UNION ELEMENTARY,0629280,49,46,93.87755102
CA,PACIFIC GROVE UNIFIED,0629370,160,34,21.25
CA,PACIFIC UNION ELEMENTARY,0629400,44,0,0
CA,PAJARO VALLEY UNIFIED,0629490,1133,741,65.4015887
CA,PALERMO UNION ELEMENTARY,0629540,113,0,0
CA,PALM SPRINGS UNIFIED,0629550,1767,100,5.659309564
CA,PALMDALE SCHOOL DISTRICT,0629580,2277,253,11.11111111
CA,PALO ALTO UNIFIED,0629610,977,610,62.43602866
CA,PALO VERDE UNIFIED,0629640,234,0,0
CA,PALO VERDE UNION ELEMENTARY,0629670,65,63,96.92307692
CA,PALOS VERDES PENINSULA UNIFIED,0629700,864,475,54.97685185
CA,PANOCHE ELEMENTARY,0629770,0,0, 
CA,PARADISE ELEMENTARY,0629790,20,0,0
CA,ACHIEVE CHARTER SCH OF PARADISE INC.,0629820,321,32,9.968847352
CA,PARAMOUNT UNIFIED,0629850,1234,191,15.47811994
CA,PARLIER UNIFIED,0629910,254,0,0
CA,PASADENA UNIFIED,0629940,1199,232,19.34945788
CA,PATTERSON JOINT UNIFIED,0630030,475,0,0
CA,PENINSULA UNION,0630090,1,0,0
CA,PERRIS ELEMENTARY,0630180,110,0,0
CA,PERRIS UNION HIGH,0630210,755,153,20.26490066
CA,PETALUMA CITY ELEMENTARY,0630230,7,0,0
CA,PETALUMA JOINT UNION HIGH,0630250,785,16,2.038216561
CA,PIEDMONT CITY UNIFIED,0630330,195,33,16.92307692
CA,PIERCE JOINT UNIFIED,0630360,124,0,0
CA,PINE RIDGE ELEMENTARY,0630390,6,0,0
CA,PINER-OLIVET UNION ELEMENTARY,0630450,130,0,0
CA,PIONEER UNION ELEMENTARY,0630480,30,0,0
CA,PIONEER UNION ELEMENTARY,0630520,6,0,0
CA,PITTSBURG UNIFIED,0630600,905,109,12.0441989
CA,PIXLEY UNION ELEMENTARY,0630630,112,0,0
CA,PLACENTIA-YORBA LINDA UNIFIED,0630660,2008,294,14.64143426
CA,PLACER HILLS UNION ELEMENTARY,0630720,89,0,0
CA,PLACERVILLE UNION ELEMENTARY,0630780,133,30,22.55639098
CA,PLAINSBURG UNION ELEMENTARY,0630810,17,0,0
CA,PLANADA ELEMENTARY,0630840,90,25,27.77777778
CA,PLAZA ELEMENTARY,0630870,18,0,0
CA,PLEASANT GROVE JOINT UNION,0630900,26,0,0
CA,PLEASANT RIDGE UNION ELEMENTARY,0630930,144,43,29.86111111
CA,PLEASANT VALLEY,0630990,829,0,0
CA,PLEASANT VALLEY JOINT UNION ELEMENTARY,0631020,18,0,0
CA,PLEASANT VIEW ELEMENTARY,0631050,49,0,0
CA,PLUMAS UNIFIED,0631170,152,0,0
CA,PLUMAS LAKE ELEMENTARY,0631180,134,115,85.82089552
CA,POLLOCK PINES ELEMENTARY,0631290,73,24,32.87671233
CA,POMONA UNIFIED,0631320,1724,1660,96.28770302
CA,POND UNION ELEMENTARY,0631350,24,0,0
CA,POPE VALLEY UNION ELEMENTARY,0631380,8,0,0
CA,POTTER VALLEY COMMUNITY UNIFIED,0631400,19,13,68.42105263
CA,PORTOLA VALLEY ELEMENTARY,0631470,62,29,46.77419355
CA,POWAY UNIFIED,0631530,2699,0,0
CA,PRINCETON JOINT UNIFIED,0631620,15,0,0
CA,RAISIN CITY ELEMENTARY,0631680,32,0,0
CA,RAMONA CITY UNIFIED,0631710,442,0,0
CA,RANCHO SANTA FE ELEMENTARY,0631740,80,59,73.75
CA,RAVENDALE-TERMO ELEMENTARY,0631830,51,0,0
CA,RAVENSWOOD CITY ELEMENTARY,0631860,402,0,0
CA,RAYMOND-KNOWLES UNION ELEMENTARY,0631920,11,0,0
CA,RED BLUFF UNION ELEMENTARY,0631980,202,0,0
CA,REDDING ELEMENTARY,0632040,355,0,0
CA,REDLANDS UNIFIED,0632070,1606,17,1.058530511
CA,REDWOOD CITY ELEMENTARY,0632130,829,41,4.945717732
CA,REED UNION ELEMENTARY,0632160,156,47,30.12820513
CA,REEDS CREEK ELEMENTARY,0632250,15,0,0
CA,REEF-SUNSET UNIFIED,0632270,146,0,0
CA,RESCUE UNION ELEMENTARY,0632310,479,116,24.217119
CA,RIALTO UNIFIED,0632370,2093,157,7.501194458
CA,RICHFIELD ELEMENTARY,0632400,18,17,94.44444444
CA,RICHGROVE ELEMENTARY,0632430,66,0,0
CA,ASPIRE RICHMOND CA. COLLEGE PREPARATORY ACADEMY,0632550,2064,350,16.95736434
CA,RIM OF THE WORLD UNIFIED,0632610,285,0,0
CA,RINCON VALLEY UNION ELEMENTARY,0632640,120,0,0
CA,RIO BRAVO-GREELEY UNION ELEMENTARY,0632710,109,0,0
CA,RIO DELL ELEMENTARY,0632730,24,0,0
CA,RIO ELEMENTARY,0632760,549,0,0
CA,CALIFORNIA CONNECTIONS ACADEMY @ RIPON,0632880,326,40,12.26993865
CA,RIVER DELTA JOINT UNIFIED,0633110,153,0,0
CA,ENCORE HIGH SCHOOL FOR THE ARTS,0633150,3339,525,15.72327044
CA,ROBERTS FERRY UNION ELEMENTARY,0633210,10,8,80
CA,ROCKFORD ELEMENTARY,0633270,40,0,0
CA,ROMOLAND ELEMENTARY,0633390,388,71,18.29896907
CA,ROSEDALE UNION ELEMENTARY,0633480,657,0,0
CA,ROSELAND,0633510,206,0,0
CA,ROSEMEAD ELEMENTARY,0633570,317,0,0
CA,ROSEVILLE CITY ELEMENTARY,0633600,1053,0,0
CA,ROSS ELEMENTARY,0633660,23,12,52.17391304
CA,ROUND VALLEY JOINT ELEMENTARY,0633690,5,0,0
CA,ROUND VALLEY UNIFIED SCHOOL DISTRICT,0633720,31,0,0
CA,ROWLAND UNIFIED,0633750,1128,132,11.70212766
CA,OAK PARK PREPARATORY ACADEMY,0633840,3400,72,2.117647059
CA,SADDLEBACK VALLEY UNIFIED,0633860,2218,751,33.85933273
CA,SALIDA UNION ELEMENTARY,0633900,303,0,0
CA,SALINAS UNION HIGH,0633980,2227,0,0
CA,SAN ANTONIO UNION ELEMENTARY,0634050,27,0,0
CA,SAN ARDO UNION ELEMENTARY,0634080,15,0,0
CA,SAN BENITO HIGH,0634140,1,0,0
CA,SAN BERNARDINO CITY UNIFIED,0634170,3812,276,7.240293809
CA,SAN BRUNO PARK ELEMENTARY,0634230,306,63,20.58823529
CA,SAN CARLOS ELEMENTARY,0634290,377,153,40.58355438
CA,SAN DIEGO UNIFIED,0634320,9217,1881,20.40794185
CA,SAN DIEGUITO UNION HIGH,0634380,1960,84,4.285714286
CA,KIPP BAYVIEW ACADEMY,0634410,3552,0,0
CA,OPTIONS FOR YOUTH SAN GABRIEL,0634425,435,97,22.29885057
CA,SAN JACINTO UNIFIED,0634440,755,139,18.41059603
CA,SAN JOSE UNIFIED,0634590,2392,639,26.71404682
CA,ASPIRE ALEXANDER TWILIGHT SECONDARY ACADEMY,0634620,3310,514,15.52870091
CA,SAN LEANDRO UNIFIED,0634680,609,66,10.83743842
CA,KIPP SUMMIT ACADEMY,0634710,858,167,19.46386946
CA,OCEAN GROVE CHARTER,0634740,397,59,14.86146096
CA,SAN LUCAS UNION ELEMENTARY,0634770,4,0,0
CA,SAN LUIS COASTAL UNIFIED,0634800,517,88,17.0212766
CA,SAN MARINO UNIFIED,0634860,257,90,35.01945525
CA,SAN MARCOS UNIFIED,0634880,1543,290,18.79455606
CA,SAN MATEO-FOSTER CITY,0634920,1158,353,30.4835924
CA,ALMOND ACRES CHARTER ACADEMY,0635010,57,0,0
CA,SAN PASQUAL UNION ELEMENTARY,0635040,84,0,0
CA,SAN PASQUAL VALLEY UNIFIED,0635070,58,0,0
CA,SAN RAFAEL CITY ELEMENTARY,0635090,431,39,9.048723898
CA,SAN RAMON VALLEY UNIFIED,0635130,2598,648,24.94226328
CA,SAN YSIDRO ELEMENTARY,0635220,100,98,98
CA,SANGER UNIFIED,0635250,715,13,1.818181818
CA,SANTA ANA UNIFIED,0635310,4259,86,2.019253346
CA,SANTA CLARA UNIFIED,0635430,1036,170,16.40926641
CA,SANTA CRUZ CITY HIGH,0635600,402,101,25.12437811
CA,SANTA MONICA-MALIBU UNIFIED,0635700,838,28,3.341288783
CA,SANTA RITA UNION ELEMENTARY,0635790,408,0,0
CA,SANTA ROSA ELEMENTARY,0635810,41,0,0
CA,SANTA ROSA HIGH,0635830,1599,250,15.63477173
CA,SANTEE,0635880,681,0,0
CA,SARATOGA UNION ELEMENTARY,0635910,325,238,73.23076923
CA,SAUSALITO MARIN CITY SCHOOL DISTRICT,0636000,32,0,0
CA,SCOTIA UNION ELEMENTARY,0636100,21,0,0
CA,REACH,0636180,124,0,0
CA,SEELEY UNION ELEMENTARY,0636210,39,0,0
CA,SELMA UNIFIED,0636270,516,0,0
CA,SEQUOIA UNION ELEMENTARY,0636360,41,0,0
CA,SHAFFER UNION ELEMENTARY,0636420,23,15,65.2173913
CA,SHANDON JOINT UNIFIED,0636450,22,8,36.36363636
CA,SHASTA UNION ELEMENTARY,0636570,3,0,0
CA,SHASTA UNION HIGH SCHOOL DISTRICT,0636600,156,17,10.8974359
CA,SHILOH ELEMENTARY,0636660,17,0,0
CA,SHORELINE UNIFIED,0636670,44,0,0
CA,SIERRA-PLUMAS JOINT UNIFIED,0636780,35,0,0
CA,SIERRA SANDS UNIFIED,0636800,347,65,18.73198847
CA,SIERRA UNIFIED,0636805,83,0,0
CA,SILVER VALLEY UNIFIED,0636820,122,2,1.639344262
CA,SIMI VALLEY UNIFIED,0636840,1378,221,16.03773585
CA,SNELLING-MERCED FALLS UNION ELEMENTARY,0636960,15,8,53.33333333
CA,SNOWLINE JOINT UNIFIED,0636970,616,0,0
CA,VICTOR VALLEY UNION HIGH,0636972,1642,34,2.070645554
CA,SOLEDAD UNIFIED,0637050,389,0,0
CA,SOLVANG ELEMENTARY,0637110,67,0,0
CA,SOMIS UNION,0637140,31,31,100
CA,WOODLAND STAR CHARTER,0637200,378,51,13.49206349
CA,SONORA ELEMENTARY,0637230,65,0,0
CA,SOQUEL UNION ELEMENTARY,0637290,231,0,0
CA,SOULSBYVILLE ELEMENTARY,0637320,54,0,0
CA,SOUTH BAY UNION ELEMENTARY,0637350,74,0,0
CA,SOUTH BAY UNION,0637380,123,0,0
CA,SOUTH FORK UNION,0637470,22,0,0
CA,SOUTH PASADENA UNIFIED,0637500,338,67,19.82248521
CA,SOUTH SAN FRANCISCO UNIFIED,0637530,656,34,5.182926829
CA,SOUTH WHITTIER ELEMENTARY,0637560,377,50,13.26259947
CA,SOUTHERN HUMBOLDT JOINT UNIFIED,0637590,53,0,0
CA,SOUTHERN KERN UNIFIED,0637620,236,0,0
CA,SOUTHERN TRINITY JOINT UNIFIED,0637630,6,2,33.33333333
CA,SOUTHSIDE ELEMENTARY,0637650,34,0,0
CA,SPENCER VALLEY ELEMENTARY,0637680,226,6,2.654867257
CA,SPRECKELS UNION ELEMENTARY,0637710,124,0,0
CA,SPRINGVILLE UNION ELEMENTARY,0637770,35,15,42.85714286
CA,SAINT HELENA UNIFIED,0637830,90,18,20
CA,STANDARD ELEMENTARY,0637890,307,0,0
CA,STANISLAUS UNION ELEMENTARY,0637950,352,0,0
CA,STOCKTON COLLEGIATE INTERNATIONAL SECONDARY,0638010,2871,395,13.75827238
CA,STONE CORRAL ELEMENTARY,0638040,10,0,0
CA,STRATHMORE UNION ELEMENTARY,0638130,91,0,0
CA,SUMMERVILLE ELEMENTARY,0638250,35,0,0
CA,GOLD RUSH CHARTER,0638280,41,0,0
CA,SUNDALE UNION ELEMENTARY,0638340,87,0,0
CA,SUNNYVALE,0638460,632,131,20.7278481
CA,SURPRISE VALLEY JOINT UNIFIED,0638520,9,0,0
CA,SUSANVILLE ELEMENTARY,0638550,73,0,0
CA,SWEETWATER UNION HIGH,0638640,5741,0,0
CA,SYLVAN UNION ELEMENTARY,0638670,993,0,0
CA,TAFT CITY,0638700,213,0,0
CA,TAHOE-TRUCKEE UNIFIED,0638770,284,37,13.02816901
CA,TEHACHAPI UNIFIED,0638880,313,63,20.12779553
CA,TEMPLE CITY UNIFIED,0638980,474,193,40.71729958
CA,TEMPLETON UNIFIED,0639000,191,0,0
CA,TERRA BELLA UNION ELEMENTARY,0639060,97,0,0
CA,THERMALITO UNION,0639180,148,0,0
CA,THREE RIVERS UNION ELEMENTARY SCHOOL,0639210,15,0,0
CA,TIPTON ELEMENTARY,0639300,64,0,0
CA,TORRANCE UNIFIED,0639420,1829,874,47.78567523
CA,TRAVER JOINT ELEMENTARY,0639600,15,0,0
CA,TRAVIS UNIFIED SCHOOL DISTRICT,0639630,421,66,15.67695962
CA,TRES PINOS UNION ELEMENTARY,0639690,19,0,0
CA,TRINIDAD UNION ELEMENTARY,0639720,13,0,0
CA,TRONA JOINT UNIFIED,0639840,24,21,87.5
CA,TULARE CITY,0639870,1045,0,0
CA,TULELAKE BASIN JOINT UNIFIED,0639940,39,4,10.25641026
CA,TUSTIN UNIFIED,0640150,1856,339,18.26508621
CA,TWIN HILLS UNION ELEMENTARY,0640230,144,28,19.44444444
CA,UKIAH UNIFIED,0640300,475,89,18.73684211
CA,UNION ELEMENTARY,0640320,623,0,0
CA,UNION HILL ELEMENTARY,0640380,63,23,36.50793651
CA,UPPER LAKE UNION ELEMENTARY,0640470,51,0,0
CA,KAIROS PUBLIC SCHOOL VACAVILLE ACADEMY,0640590,1002,183,18.26347305
CA,VALLE LINDO ELEMENTARY,0640650,145,132,91.03448276
CA,VALLECITO UNION,0640680,68,0,0
CA,VALLECITOS ELEMENTARY,0640710,19,4,21.05263158
CA,VALLEJO CITY UNIFIED,0640740,1233,122,9.894566099
CA,VALLEY HOME JOINT ELEMENTARY,0640800,10,0,0
CA,VENTURA UNIFIED,0640980,1266,0,0
CA,VINELAND ELEMENTARY,0641130,92,0,0
CA,VISALIA UNIFIED,0641160,2100,0,0
CA,BELLA MENTE MONTESSORI ACADEMY,0641190,1763,65,3.686897334
CA,WALNUT CREEK ELEMENTARY,0641250,411,94,22.87104623
CA,WALNUT VALLEY UNIFIED,0641280,1239,468,37.77239709
CA,WASCO UNION ELEMENTARY,0641400,364,33,9.065934066
CA,SACRAMENTO VALLEY CHARTER,0641580,552,0,0
CA,WASHINGTON UNION ELEMENTARY,0641610,100,0,0
CA,WAUKENA JOINT UNION ELEMENTARY,0641820,39,0,0
CA,WEAVER UNION,0641880,264,0,0
CA,WEED UNION ELEMENTARY,0641980,17,0,0
CA,WEST COVINA UNIFIED,0642000,1166,109,9.348198971
CA,WEST PARK ELEMENTARY,0642060,69,21,30.43478261
CA,WESTSIDE UNION ELEMENTARY,0642120,1073,251,23.39235788
CA,HORIZON CHARTER,0642140,313,224,71.56549521
CA,WESTMINSTER,0642150,1052,465,44.20152091
CA,WESTMORLAND UNION ELEMENTARY,0642180,35,0,0
CA,OPPORTUNITIES FOR LEARNING Ð FRESNO,0642210,20,19,95
CA,WESTWOOD CHARTER,0642300,30,18,60
CA,WHEATLAND,0642330,135,98,72.59259259
CA,WHITMORE UNION ELEMENTARY,0642420,9,0,0
CA,WHITTIER CITY ELEMENTARY,0642450,630,102,16.19047619
CA,ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES,0642510,3661,500,13.65747064
CA,WILLIAMS UNIFIED,0642540,90,2,2.222222222
CA,WILLITS CHARTER,0642560,141,26,18.43971631
CA,LAYTONVILLE UNIFIED,0642580,31,8,25.80645161
CA,WILLOW CREEK ELEMENTARY,0642600,7,0,0
CA,WILLOW GROVE UNION ELEMENTARY,0642630,1,0,0
CA,WILLOWS UNIFIED,0642710,125,0,0
CA,WILSONA ELEMENTARY,0642810,148,0,0
CA,WINSHIP-ROBBINS,0642900,18,0,0
CA,WINTERS JOINT UNIFIED,0642930,118,0,0
CA,WINTON,0642960,169,152,89.9408284
CA,WOODLAND JOINT UNIFIED,0643080,770,0,0
CA,WOODSIDE ELEMENTARY,0643140,40,32,80
CA,WOODVILLE UNION ELEMENTARY,0643170,58,0,0
CA,WRIGHT ELEMENTARY,0643200,56,0,0
CA,YREKA UNION ELEMENTARY SCHOOL DISTRICT,0643380,99,0,0
CA,YUBA CITY UNIFIED,0643470,1005,135,13.43283582
CA,YUCAIPA-CALIMESA JOINT UNIFIED,0643560,695,143,20.57553957
CA,IRVINE UNIFIED,0684500,2549,663,26.01020008
CA,AMADOR COUNTY OFFICE OF EDUCATION,0691001,51,0,0
CA,CORE BUTTE CHARTER SCHOOL,0691002,58,4,6.896551724
CA,CALAVERAS COUNTY OFFICE OF EDUCATION,0691003,12,2,16.66666667
CA,SUMMIT PUBLIC SCHOOL: K2,0691005,244,0,0
CA,EL DORADO COUNTY OFFICE OF EDUCATION,0691006,118,0,0
CA,BIG PICTURE HS - FRESNO,0691007,88,23,26.13636364
CA,GLENN COUNTY OFFICE OF EDUCATION,0691008,9,0,0
CA,HUMBOLDT COUNTY OFFICE OF EDUCATION,0691009,9,0,0
CA,IMPERIAL COUNTY OFFICE OF EDUCATION,0691010,32,0,0
CA,INYO COUNTY SUPERINTENDENT OF SCHOOLS,0691011,1,0,0
CA,WONDERFUL COLLEGE PREP ACADEMY,0691012,312,0,0
CA,KINGS COUNTY OFFICE OF EDUCATION,0691013,21,0,0
CA,LAKE COUNTY OFFICE OF EDUCATION,0691014,1,0,0
CA,LASSEN COUNTY OFFICE OF EDUCATION,0691015,2,0,0
CA,MADERA COUNTY OFFICE OF EDUCATION,0691017,54,0,0
CA,MARIN COUNTY OFFICE OF EDUCATION,0691018,14,0,0
CA,MENDOCINO COUNTY OFFICE OF EDUCATION,0691019,9,0,0
CA,MERCED COUNTY OFFICE OF EDUCATION,0691020,79,6,7.594936709
CA,BAY VIEW ACADEMY,0691021,133,0,0
CA,NAPA COUNTY OFFICE OF EDUCATION,0691022,2,0,0
CA,NEVADA COUNTY OFFICE OF EDUCATION,0691023,167,25,14.97005988
CA,VISTA HERITAGE CHARTER MIDDLE,0691024,90,0,0
CA,PLACER COUNTY OFFICE OF EDUCATION,0691025,57,4,7.01754386
CA,RIVER SPRINGS CHARTER,0691026,518,9,1.737451737
CA,SACRAMENTO COUNTY OFFICE OF EDUCATION,0691027,86,0,0
CA,SAN BENITO COUNTY OFFICE OF EDUCATION,0691028,18,2,11.11111111
CA,SAN BERNARDINO COUNTY OFFICE OF EDUCATION,0691029,116,27,23.27586207
CA,SAN DIEGO COUNTY OFFICE OF EDUCATION,0691030,189,10,5.291005291
CA,SAN JOAQUIN COUNTY OFFICE OF EDUCATION,0691031,218,0,0
CA,SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION,0691032,6,0,0
CA,SAN MATEO COUNTY OFFICE OF EDUCATION,0691033,19,0,0
CA,SANTA BARBARA COUNTY OFFICE OF EDUCATION,0691034,17,0,0
CA,SANTA CLARA COUNTY OFFICE OF EDUCATION,0691035,654,112,17.12538226
CA,SANTA CRUZ COUNTY OFFICE OF EDUCATION,0691036,116,68,58.62068966
CA,SHASTA COUNTY OFFICE OF EDUCATION,0691037,32,0,0
CA,GOLDEN EAGLE CHARTER,0691038,42,0,0
